time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
2025-09-22T07:39:34.973Z,0.282501532,0.162280403,-9.78296335,0.00517334903,-0.0113867466,0.026167138
2025-09-22T07:39:34.978Z,0.281467625,0.16855619,-9.77729667,0.00455042142,-0.0114071097,0.0261442688
2025-09-22T07:39:34.983Z,0.276597397,0.173587056,-9.76240673,0.00593455665,-0.0106486648,0.026093334
2025-09-22T07:39:34.988Z,0.274279913,0.180547333,-9.76804053,0.00716283275,-0.0101793722,0.0260388961
2025-09-22T07:39:34.993Z,0.276642942,0.188094444,-9.78307226,0.00667182367,-0.0101657506,0.0261613365
2025-09-22T07:39:34.998Z,0.276276052,0.187025785,-9.78253431,0.0056446541,-0.0105347925,0.0262001599
2025-09-22T07:39:35.003Z,0.277595924,0.187125873,-9.7777988,0.00652977173,-0.0110656365,0.0272195226
2025-09-22T07:39:35.008Z,0.283932478,0.18715608,-9.77937535,0.00690290431,-0.0102170415,0.0270363917
2025-09-22T07:39:35.013Z,0.288284451,0.183550278,-9.77716364,0.00704760863,-0.0107000578,0.0272476224
2025-09-22T07:39:35.018Z,0.288535242,0.182006681,-9.77036918,0.00681130745,-0.0115054253,0.0283343708
2025-09-22T07:39:35.023Z,0.276187042,0.180183835,-9.76348481,0.00678664308,-0.0114825218,0.0290694383
2025-09-22T07:39:35.028Z,0.275187236,0.180878968,-9.76326262,0.00731152133,-0.0114067386,0.0290807844
2025-09-22T07:39:35.033Z,0.278720759,0.187770471,-9.76294541,0.00737862727,-0.0115856697,0.0291467169
2025-09-22T07:39:35.038Z,0.278409052,0.188530084,-9.75052665,0.00783529895,-0.0113869586,0.0294936099
2025-09-22T07:39:35.043Z,0.276470106,0.186729473,-9.74574363,0.00813910649,-0.0113271995,0.0298268697
2025-09-22T07:39:35.048Z,0.277830726,0.17913563,-9.76197623,0.00772749591,-0.0116034483,0.0295602847
2025-09-22T07:39:35.053Z,0.271587521,0.179420579,-9.76425519,0.0074130232,-0.0120274257,0.030961989
2025-09-22T07:39:35.058Z,0.268555808,0.184272649,-9.7494091,0.0078125325,-0.0121056008,0.0315151191
2025-09-22T07:39:35.063Z,0.27306488,0.190531351,-9.74926658,0.00769795148,-0.0112033009,0.0312303071
2025-09-22T07:39:35.068Z,0.277211172,0.193964409,-9.75088041,0.00848803723,-0.0111071444,0.0313232573
2025-09-22T07:39:35.073Z,0.267705769,0.195033673,-9.73689972,0.00879311171,-0.0117716657,0.0318813952
